data,IBM
2021-06-21,146.6500
2021-06-18,143.1200
2021-06-17,145.6000
2021-06-16,147.8300
2021-06-15,149.3600
2021-06-14,150.0300
2021-06-11,151.2800
2021-06-10,150.5400
2021-06-09,150.6700
2021-06-08,149.0700
2021-06-07,148.0200
2021-06-04,147.4200
2021-06-03,145.5500
2021-06-02,145.7200
2021-06-01,144.1900
2021-05-28,143.7400
2021-05-27,143.8200
2021-05-26,143.3800
2021-05-25,143.7900
2021-05-24,144.7200
2021-05-21,144.7400
2021-05-20,143.8800
2021-05-19,143.1900
2021-05-18,143.9100
2021-05-17,145.1100
2021-05-14,144.6800
2021-05-13,144.1700
2021-05-12,141.3000
2021-05-11,144.2200
2021-05-10,146.1700
2021-05-07,145.4600
2021-05-06,148.4200
2021-05-05,145.2200
2021-05-04,145.7500
2021-05-03,144.7500
2021-04-30,141.8800
2021-04-29,144.2400
2021-04-28,143.0000
2021-04-27,142.0100
2021-04-26,141.5700
2021-04-23,142.4300
2021-04-22,141.2800
2021-04-21,143.5500
2021-04-20,138.1600
2021-04-19,133.1200
2021-04-16,133.5900
2021-04-15,132.5800
2021-04-14,132.6300
2021-04-13,131.1800
2021-04-12,134.5900
2021-04-09,135.7300
2021-04-08,135.1200
2021-04-07,134.9300
2021-04-06,134.2200
2021-04-05,135.9300
2021-04-01,133.2300
2021-03-31,133.2600
2021-03-30,134.7200
2021-03-29,135.8600
2021-03-26,136.3800
2021-03-25,133.0700
2021-03-24,130.6200
2021-03-23,130.4600
2021-03-22,130.5500
2021-03-19,128.9000
2021-03-18,130.0600
2021-03-17,129.0300
2021-03-16,128.2400
2021-03-15,128.5800
2021-03-12,127.6100
2021-03-11,127.1400
2021-03-10,127.8700
2021-03-09,124.1800
2021-03-08,124.8100
2021-03-05,122.8300
2021-03-04,120.1100
2021-03-03,122.3600
2021-03-02,120.3300
2021-03-01,120.7400
2021-02-26,118.9300
2021-02-25,122.4700
2021-02-24,123.2100
2021-02-23,120.7100
2021-02-22,120.8600
2021-02-19,118.9900
2021-02-18,120.7300
2021-02-17,119.9700
2021-02-16,120.0700
2021-02-12,120.8000
2021-02-11,120.9100
2021-02-10,122.2400
2021-02-09,122.1000
2021-02-08,123.6100
2021-02-05,121.7900
2021-02-04,121.0200
2021-02-03,119.1200
2021-02-02,119.4400
2021-02-01,120.5400
2021-01-29,119.1100
2021-01-28,120.0800
2021-01-27,122.4700
2021-01-26,122.4900
2021-01-25,118.5800
2021-01-22,118.6100
2021-01-21,131.6500
2021-01-20,130.0800
2021-01-19,129.0200
2021-01-15,128.3900
2021-01-14,128.9700
2021-01-13,126.9200
2021-01-12,129.2100
2021-01-11,128.5800
2021-01-08,128.5300
2021-01-07,128.9900
2021-01-06,129.2900
2021-01-05,126.1400
2021-01-04,123.9400
2020-12-31,125.8800
2020-12-30,124.3400
2020-12-29,123.8000
2020-12-28,124.8200
2020-12-24,124.6900
2020-12-23,123.9000
2020-12-22,123.6100
2020-12-21,123.3900
2020-12-18,125.8500
2020-12-17,125.5500
2020-12-16,125.5500
2020-12-15,125.9300
2020-12-14,123.5300
2020-12-11,124.2700
2020-12-10,124.9600
2020-12-09,126.7900
2020-12-08,125.7100
2020-12-07,124.7000
2020-12-04,127.2000
2020-12-03,123.6100
2020-12-02,124.6200
2020-12-01,123.1600
2020-11-30,123.5200
2020-11-27,124.3500
2020-11-25,124.2000
2020-11-24,124.4200
2020-11-23,120.0900
2020-11-20,116.9400
2020-11-19,117.1800
2020-11-18,116.7700
2020-11-17,117.7000
2020-11-16,118.3600
2020-11-13,116.8500
2020-11-12,114.5000
2020-11-11,117.2000
2020-11-10,117.9100
2020-11-09,115.5300
2020-11-06,114.0400
2020-11-05,114.7700
2020-11-04,111.9000
2020-11-03,114.1600
2020-11-02,112.9100
2020-10-30,111.6600
2020-10-29,108.9100
2020-10-28,106.6500
2020-10-27,110.5600
2020-10-26,112.2200
2020-10-23,116.0000
2020-10-22,115.7600
2020-10-21,115.0600
2020-10-20,117.3700
2020-10-19,125.5200
2020-10-16,125.9300
2020-10-15,124.8900
2020-10-14,125.9400
2020-10-13,125.1000
2020-10-12,127.2100
2020-10-09,127.7900
2020-10-08,131.4900
2020-10-07,124.0700
2020-10-06,121.9700
2020-10-05,122.0100
2020-10-02,120.5700
2020-10-01,121.0900
2020-09-30,121.6700
2020-09-29,120.9400
2020-09-28,121.7300
2020-09-25,118.9500
2020-09-24,118.0900
2020-09-23,118.8300
2020-09-22,120.5100
2020-09-21,120.2500
2020-09-18,122.7600
2020-09-17,124.9200
2020-09-16,124.2200
2020-09-15,122.4400
2020-09-14,122.0900
2020-09-11,121.4600
2020-09-10,120.5600
2020-09-09,122.2600
2020-09-08,121.2100
2020-09-04,122.3000
2020-09-03,124.4500
2020-09-02,128.1800
2020-09-01,123.4000
2020-08-31,123.3100
2020-08-28,125.0700
2020-08-27,124.6500
2020-08-26,124.1700
2020-08-25,124.6400
2020-08-24,125.6800
2020-08-21,123.1600
2020-08-20,123.1500
2020-08-19,123.8400
2020-08-18,124.9200
2020-08-17,124.4400
2020-08-14,125.2700
2020-08-13,125.0300
2020-08-12,126.7000
2020-08-11,126.7500
2020-08-10,127.1100
2020-08-07,124.9600
2020-08-06,126.1200
2020-08-05,125.4500
2020-08-04,125.8400
2020-08-03,124.3100
2020-07-31,122.9400
2020-07-30,122.9000
2020-07-29,125.3200
2020-07-28,124.4700
2020-07-27,126.2100
2020-07-24,125.7900
2020-07-23,127.3300
2020-07-22,128.6700
2020-07-21,126.0600
2020-07-20,126.3700
2020-07-17,125.1100
2020-07-16,124.0100
2020-07-15,123.0000
2020-07-14,120.6000
2020-07-13,119.2000
2020-07-10,118.3500
2020-07-09,115.7100
2020-07-08,117.7100
2020-07-07,117.5800
2020-07-06,120.1900
2020-07-02,119.7000
2020-07-01,118.5400
2020-06-30,120.7700
2020-06-29,119.7500
2020-06-26,117.1900
2020-06-25,119.0300
2020-06-24,116.4200
2020-06-23,119.4100
2020-06-22,121.0700
2020-06-19,122.4700
2020-06-18,124.1600
2020-06-17,124.1500
2020-06-16,125.1500
2020-06-15,121.6500
2020-06-12,121.9100
2020-06-11,118.0100
2020-06-10,129.8700
2020-06-09,131.8700
2020-06-08,135.7500
2020-06-05,132.0600
2020-06-04,128.8900
2020-06-03,129.0500
2020-06-02,126.0000
2020-06-01,124.8900
2020-05-29,124.9000
2020-05-28,124.5300
2020-05-27,125.5400
2020-05-26,121.7600
2020-05-22,118.3900
2020-05-21,119.1200
2020-05-20,121.3800
2020-05-19,120.2900
2020-05-18,121.5600
2020-05-15,116.9800
2020-05-14,116.9500
2020-05-13,115.7300
2020-05-12,120.2600
2020-05-11,122.5900
2020-05-08,122.9900
2020-05-07,121.2300
2020-05-06,123.1700
2020-05-05,122.5800
2020-05-04,121.6800
2020-05-01,121.8700
2020-04-30,125.5600
2020-04-29,128.6900
2020-04-28,126.2700
2020-04-27,125.9200
2020-04-24,124.7200
2020-04-23,121.3500
2020-04-22,119.3100
2020-04-21,116.7600
2020-04-20,120.4100
2020-04-17,120.1200
2020-04-16,115.7300
2020-04-15,118.6900
2020-04-14,123.9100
2020-04-13,121.1500
2020-04-09,121.5000
2020-04-08,119.2900
2020-04-07,114.9400
2020-04-06,114.8200
2020-04-03,106.3400
2020-04-02,110.0000
2020-04-01,105.1400
2020-03-31,110.9300
2020-03-30,112.9300
2020-03-27,108.0300
2020-03-26,112.8900
2020-03-25,105.8500
2020-03-24,105.4800
2020-03-23,94.7700
2020-03-20,95.3900
2020-03-19,100.3400
2020-03-18,103.5500
2020-03-17,106.6500
2020-03-16,99.0800
2020-03-13,107.9500
2020-03-12,102.8100
2020-03-11,117.9700
2020-03-10,124.7700
2020-03-09,117.8100
2020-03-06,127.7300
2020-03-05,129.5500
2020-03-04,134.2200
2020-03-03,128.9000
2020-03-02,134.3000
2020-02-28,130.1500
