"date"," ABEV3.SA"," ASAI3.SA"," AZUL4.SA"," B3SA3.SA"," BBAS3.SA"," BBDC3.SA"," BBDC4.SA"," BBSE3.SA"," BEEF3.SA"," BPAC11.SA"," BRAP4.SA"," BRDT3.SA"," BRFS3.SA"," BRKM5.SA"," BRML3.SA"," CCRO3.SA"," CIEL3.SA"," CMIG4.SA"," COGN3.SA"," CPFE3.SA"," CPLE6.SA"," CRFB3.SA"," CSAN3.SA"," CSNA3.SA"," CVCB3.SA"," CYRE3.SA"," ECOR3.SA"," EGIE3.SA"," ELET3.SA"," ELET6.SA"," EMBR3.SA"," ENBR3.SA"," ENEV3.SA"," ENGI11.SA"," EQTL3.SA"," EZTC3.SA"," FLRY3.SA"," GGBR4.SA"," GNDI3.SA"," GOAU4.SA"," GOLL4.SA"," HAPV3.SA"," HGTX3.SA"," HYPE3.SA"," IGTA3.SA"," IRBR3.SA"," ITSA4.SA"," ITUB4.SA"," JBSS3.SA"," JHSF3.SA"," KLBN11.SA"," LAME4.SA"," LCAM3.SA"," LREN3.SA"," MGLU3.SA"," MRFG3.SA"," MRVE3.SA"," MULT3.SA"," NTCO3.SA"," PCAR3.SA"," PETR3.SA"," PETR4.SA"," PRIO3.SA"," QUAL3.SA"," RADL3.SA"," RAIL3.SA"," RENT3.SA"," SANB11.SA"," SBSP3.SA"," SULA11.SA"," SUZB3.SA"," TAEE11.SA"," TIMS3.SA"," TOTS3.SA"," UGPA3.SA"," USIM5.SA"," VALE3.SA"," VIVT3.SA"," VVAR3.SA"," WEGE3.SA"," YDUQ3.SA"
"1",2021-03-01,13.77,14.188677,40.049999,17.390621,26.762774,17.573917,19.658798,24.204716,9.03059,25.530704,53.674404,18.12764,21.700001,31.780001,8.17,10.843947,3.325763,9.884041,3.61,25.238281,4.9526,18.361017,20.361914,32.609936,15.96,23.445381,10.65,37.383682,30.700157,31.0954,12.21,16.936317,16.735001,41.218655,19.298658,30.157955,25.276711,25.40579,89.053795,11.252275,21.370001,16.284698,14.713737,30.583601,30.393238,5.83,9.449737,24.461002,25.146818,5.953497,30.9,24.68,23.906651,36.822628,24.532209,13.288611,16.275866,19.379999,46.349998,22.050739,20.11891,20.087284,17.646,29.484564,22.727558,18.08,58.845047,35.66964,35.100616,31.062078,74.489998,28.261705,12.514287,31.312807,18.312141,15.756072,83.790359,41.36034,12.11,38.766033,28.278706
"2",2021-03-02,13.99,14.40727,38.790001,17.921782,27.790632,17.880537,20.188707,24.194958,8.993157,25.428793,55.01252,17.851442,21.59,30.51,8.23,10.804226,3.306084,10.175505,3.63,25.80513,5.078534,18.216518,20.356972,33.445103,15.69,23.655996,10.55,36.908817,31.070038,31.610094,12.42,17.119257,16.73,41.103283,19.531757,30.167698,24.993906,25.748728,88.239517,11.384545,20.74,16.364527,14.873127,31.147619,30.750456,5.96,9.72478,25.44853,25.343645,6.07202,30.49,24.25,23.610165,37.020756,24.252413,13.632202,16.305405,19.790001,47,21.379671,20.027502,20.078154,17.134001,29.938889,22.827326,18.299999,58.288025,36.751411,35.952621,31.13752,73.529999,28.326761,12.533963,30.855251,18.253544,16.111399,86.366043,41.52269,12.02,38.298851,27.4519
"3",2021-03-03,14.17,14.168806,38.560001,18.107363,27.848267,18.242565,20.365644,24.029037,8.993157,25.088249,53.873875,17.492388,21.709999,29.51,8.15,10.953181,3.345442,10.08978,3.67,26.129044,5.038235,18.10092,20.235888,34.001881,14.98,22.689081,10.55,37.095036,30.875362,31.911144,12.43,17.234797,16.6425,41.35326,19.658018,29.992304,25.057907,25.662992,86.392502,11.365648,20.5,16.115068,14.673888,30.369659,30.303936,5.89,9.813187,25.507776,25.306152,6.0082,30.120001,23.91,23.491571,37.12973,25.101797,13.752923,16.26602,19.85,47.34,20.17931,19.168264,19.347708,17.924,30.495199,23.156565,18.49,58.506855,36.215317,36.636208,30.722603,73.5,28.345348,12.652022,30.765728,17.794518,16.195559,85.303474,42.200718,11.92,38.269032,27.245201
"4",2021-03-04,14.78,14.546376,38.5,17.755392,28.856916,18.851826,21.153025,23.911917,9.273902,24.422079,52.2033,18.680031,22.73,30.129999,8.38,11.549003,3.404479,10.415533,3.7,26.542933,5.276672,18.688547,21.992844,33.800289,15.41,22.842255,11,37.523338,31.118706,31.891722,12.4,17.783613,16.5425,42.353203,20.328178,30.333347,25.346272,25.634411,85.250534,11.460127,19.469999,15.516365,15.939051,30.573875,31.226746,5.97,10.029293,26.307673,26.065338,6.272597,29.889999,24.559999,24.361261,38.96244,25.421564,13.622916,16.443253,20.42,47.419998,21.048862,19.99094,20.288157,18.598,31.292578,23.54567,19.85,60.595676,36.981167,37.934029,30.496286,73.599998,30.083242,12.838951,30.447428,18.89813,15.718666,84.036888,42.028828,12.11,36.39534,27.245201
"5",2021-03-05,15.08,14.904073,38.139999,18.075367,29.394861,19.884924,22.152729,24.546314,9.170962,24.113852,55.519512,18.643206,23.57,30.530001,8.72,11.658237,3.512714,10.218368,4.07,26.443958,5.130588,18.87158,22.667458,35.518623,16.299999,23.818747,11.2,37.46748,30.924032,31.687786,12.82,17.851013,16.235001,42.218597,20.532141,32.077538,25.028076,26.31076,85.230682,11.790797,20.450001,15.606172,15.77966,30.836437,32.635769,6.16,10.186461,27.285322,25.915375,6.26348,30.860001,23.92,24.519386,39.190296,25.111788,13.910789,16.81741,21.379999,50.509998,21.653769,20.164614,20.443377,20.011999,31.783989,23.665392,20.309999,60.506161,38.685192,37.151375,31.646732,76.099998,30.046072,13.163613,29.960032,18.979773,16.635046,89.022011,42.706867,12.03,36.300911,28.298393
"6",2021-03-08,14.69,14.111176,35.459999,16.859463,28.049997,19.116722,21.365347,23.794796,8.993157,22.465826,54.796429,17.575249,23.26,30.200001,8.3,11.092207,3.306084,9.841179,3.83,25.61618,4.999615,18.10092,22.412931,35.038643,15.12,21.99979,10.44,36.229118,30.982433,31.0954,12.23,17.379221,15.1975,40.526394,19.988243,29.280985,24.302193,25.682043,79.401665,11.469575,19.58,14.977533,14.952822,29.67922,30.86953,5.85,9.783719,26.416302,25.493607,5.834974,29.51,22.27,22.25621,37.644867,23.08326,14.523682,16.128172,20.5,48.18,21.597059,19.195688,19.265533,19,29.95743,22.228708,18.700001,54.826553,37.344944,36.873978,30.06251,75.370003,29.479162,12.779921,28.219324,17.479551,15.886981,88.542305,41.981083,11.54,34.367577,26.438082
"7",2021-03-09,15.16,14.069445,35.98,17.118643,27.848267,19.143209,21.542288,23.092079,9.545287,22.142687,53.283772,17.77779,24.65,31.49,8.27,11.052485,3.256886,9.73831,3.75,25.715155,4.967711,18.322485,22.089216,33.752293,14.87,21.205194,10.2,35.791496,30.447081,30.872042,12.34,17.668074,15.655,40.295635,19.997955,28.131184,24.202757,26.034506,81.566444,11.582948,19.549999,15.11723,14.345145,30.223791,31.12752,5.82,9.872127,26.781685,25.915375,5.670865,30.459999,21,22.730591,36.535339,23.373049,14.792983,15.566936,20.51,48.220001,22.400452,19.552179,19.712931,19.746,29.70709,22.94705,18.43,55.284107,37.565128,36.150764,29.675884,79.18,30.520041,12.652022,29.363216,17.716429,15.98049,87.653946,41.790081,10.98,35.53553,26.004992
"8",2021-03-10,15.27,14.109189,38.34,17.697794,28.722429,19.434599,21.905014,23.570318,9.208395,22.614971,52.361217,18.919399,24.16,32.110001,8.46,11.519212,3.355282,10.209795,4.05,26.542933,5.175085,18.438084,22.148523,32.78273,16.33,21.789175,10.65,36.57362,30.846163,31.153669,13.82,18.188005,15.8675,40.612926,20.347605,29.027641,24.411572,25.691568,82.718346,11.497918,21.49,15.157144,15.191908,30.301588,31.911413,6.08,10.143123,26.979191,25.165564,5.889677,29.389999,21.969999,22.938129,37.96188,24.881956,14.077942,16.512177,20.85,47.970001,23.468489,20.374853,20.397724,18.879999,30.541555,24.293943,18.52,56.238998,38.082081,36.953232,30.04365,74.860001,30.863901,12.602832,27.970654,18.081614,15.466198,86.30365,41.589539,11.87,35.923187,26.634939
"9",2021-03-11,15.09,14.604005,40.450001,18.142561,28.866522,19.823116,22.285431,23.785038,9.114813,23.15934,53.491554,19.950531,24.9,33.209999,9.06,12.452665,3.424158,10.321237,4.14,26.731884,5.151577,18.563318,22.064507,35.787415,18.120001,22.918842,11.57,37.188148,30.894831,31.075977,13.74,18.245777,16.674999,42.38205,20.522427,29.943583,24.709881,26.663219,83.999329,11.734113,23.030001,15.466474,15.998821,30.914232,34.005104,6.1,10.113607,27.018694,24.818775,6.163191,28.969999,22.469999,24.054895,40.042252,24.782028,14.402961,16.955257,22.33,49.380001,23.534651,20.978148,21.265129,18.57,31.014425,24.00461,19.809999,59.232971,37.909763,38.439285,30.109659,74.160004,30.798847,12.750406,27.413628,19.236389,16.158155,88.568954,41.933331,12.32,35.74427,27.550331
"10",2021-03-12,15.03,14.462912,41.130001,17.707396,28.958916,19.540558,22.135036,23.37512,9.021233,23.412884,52.901451,19.959736,25.02,33.73,9.26,12.502317,3.443837,10.364099,4.19,26.866848,5.289266,18.524784,22.017555,36.1138,18.35,23.340073,11.59,37.085732,30.953232,31.425583,14.4,18.40946,16.940001,42.26667,20.580704,30.849783,24.441402,26.318684,82.470093,11.600986,22.780001,15.266906,15.958975,30.603046,34.55085,6.19,10.034904,26.840937,24.659439,6.208777,29.4,21.67,24.094425,41.1716,24.552195,14.272953,17.063566,23.209999,48.860001,23.534651,20.749626,21.155563,18.702,31.1535,24.161087,19.709999,59.183239,37.469398,38.290684,30.071939,74.25,30.705914,12.858627,27.513096,19.265999,15.784122,86.525742,42.983814,11.8,35.36158,27.678289
