date,%
201606,0.47
201607,0.64
201608,0.31
201609,0.08
201610,0.17
201611,0.07
201612,0.14
201701,0.42
201702,0.24
201703,0.32
201704,0.08
201705,0.36
201706,-0.30
201707,0.17
201708,-0.03
201709,-0.02
201710,0.37
201711,0.18
201712,0.26
201801,0.23
201802,0.18
201803,0.07
201804,0.21
201805,0.43
201806,1.43
201807,0.25
201808,0.00
201809,0.30
201810,0.40
201811,-0.25
201812,0.14
201901,0.36
201902,0.54
201903,0.77
201904,0.60
201905,0.15
201906,0.01
201907,0.10
201908,0.12
201909,-0.05
201910,0.04
201911,0.54
201912,1.22
202001,0.19
202002,0.17
202003,0.18
202004,-0.23
202005,-0.25
202006,0.30
202007,0.44
202008,0.36
202009,0.87
202010,0.89
202011,0.95
202012,1.46
202101,0.27
202102,0.82
202103,0.86
202104,0.38
202105,0.96
202106,0.60
202107,1.02
202108,0.88
202109,1.20
202110,1.16
202111,0.84
202112,0.73
202201,0.67
202202,1.00
202203,1.71
202204,1.04
202205,0.45
202206,0.62
202207,-0.60
202208,-0.31
202209,-0.32
202210,0.47
