date,%
201503,1.32
201504,0.71
201505,0.74
201506,0.79
201507,0.62
201508,0.22
201509,0.54
201510,0.82
201511,1.01
201512,0.96
201601,1.27
201602,0.90
201603,0.43
201604,0.61
201605,0.78
201606,0.35
201607,0.52
201608,0.44
201609,0.08
201610,0.26
201611,0.18
201612,0.30
201701,0.38
201702,0.33
201703,0.25
201704,0.14
201705,0.31
201706,-0.23
201707,0.24
201708,0.19
201709,0.16
201710,0.42
201711,0.28
201712,0.44
201801,0.29
201802,0.32
201803,0.09
201804,0.22
201805,0.40
201806,1.26
201807,0.33
201808,-0.09
201809,0.48
201810,0.45
201811,-0.21
201812,0.15
201901,0.32
201902,0.43
201903,0.75
201904,0.57
201905,0.13
201906,0.01
201907,0.19
201908,0.11
201909,-0.04
201910,0.10
201911,0.51
201912,1.15
202001,0.21
202002,0.25
202003,0.07
202004,-0.31
202005,-0.38
202006,0.26
202007,0.36
202008,0.24
202009,0.64
202010,0.86
202011,0.89
202012,1.35
202101,0.25
202102,0.86
202103,0.93
202104,0.31
202105,0.83
202106,0.53
202107,0.96
